Name of Issuer,CUSIP,Value,Shares
3M Company,88579Y101,4519,30000
3M Company,88579Y101,26211,174000
Aaron's Inc,002535300,7299,326000
Accenture,G1151C101,1045,10000
Accenture,G1151C101,13271,127000
Alleghany Corporation,017175100,2068,4328
Alphabet Inc,02079K107,12166,16031
Alphabet Inc Class A,02079K305,9725,12500
Amazon.com,023135106,2230,3300
American Express,025816109,695,10000
American Express,025816109,26151,376000
American Tower,03027X100,1939,20000
Anthem Inc,036752103,31235,224000
Aon Corporation,G0408V102,3412,37000
Apollo Global Management - A,037612306,5875,387000
Apple Inc,037833100,2526,24000
Archer Daniels,039483102,52232,1424000
Automatic Data Processing,053015103,44961,530700
Baxter International Inc,071813109,839,22000
Becton Dickinson,075887109,1387,9000
Berkshire Hathaway Class B,084670702,64053,485100
Berkshire Hathaway Class B,084670702,135540,1026507
"Berkshire Hathaway, Inc.",084670108,54395,275
"Berkshire Hathaway, Inc.",084670108,160020,809
Blackrock Inc,09247X101,51759,152000
Blackstone Group,09253U108,14240,487000
Boeing Co,097023105,694,4800
Bristol Myers Squibb,110122108,688,10000
Brookfield Asset Management,112585104,20337,645000
Brookfield Asset Management,112585104,138663,4397821
Brown Forman Class A,115637100,46411,421500
Brown-Forman Class B,115637209,10462,105375
Bunge Limited,G16962105,478,7000
CDK Global Inc,12508E101,8397,176897
CME Group Inc,12572Q105,10510,116000
CR Bard,067383109,1705,9000
CSX Corporation,126408103,2206,85000
CVS Corporation,126650100,24149,247000
Cable One,12685J105,2255,5200
Capital One Financial Corp,14040H105,9095,126000
Carbo Ceramics Inc,140781105,3698,215000
Carmax,143130102,12683,235000
Carmax,143130102,252475,4678070
Caterpillar Inc,149123101,18893,278000
Charles Schwab,808513105,34807,1057000
Coach Inc,189754104,1767,54000
Colfax Corporation,194014106,25336,1085070
Colfax Corporation,194014106,1167,50000
Copart Inc,217204106,36680,965000
Core Labs NV,N22717107,11853,109000
Costco,22160K105,807,5000
Costco,22160K105,5491,34000
Culp Inc,230215105,770,30227
Cummins Inc.,231021106,3168,36000
Diageo PLC,25243Q205,35829,328500
Diageo PLC,25243Q205,104271,956000
Discovery Communications,25470F302,18108,718000
Disney,254687106,166972,1589000
Donaldson,257651109,1376,48000
Ecolab,278865100,18244,159500
Emerson Electric,291011104,7557,158000
Exxon Corporation,30231G102,15574,199800
Exxon Corporation,30231G102,58073,745000
Facebook,30303M102,366,3500
Factset Research,303075105,26661,164000
Federated Investors,314211103,21889,764000
Fedex Corp,31428X106,4768,32000
General Dynamics,369550108,53158,387000
Genesee and Wyoming,371559105,537,10000
Graham Holdings Co,384637104,2522,5200
Halliburton,406216101,8306,244000
Harley Davidson,412822108,13254,292000
"Hasbro, Inc",418056107,24519,364000
Hershey Foods,427866108,1071,12000
Home Depot,437076102,2645,20000
Home Depot,437076102,119025,900000
Illinois Tool Works,452308109,21316,230000
Investors Title Company,461804106,21330,213300
JP Morgan,46625H100,12083,183000
John Deere,244199105,83211,1091000
Johnson and Johnson,478160104,5650,55000
Johnson and Johnson,478160104,56517,550200
KKR & Co LLC,48248M102,8309,533000
Liberty Broadband A,530307107,4455,86250
Liberty Broadband Class C,530307305,8926,172113
Liberty Global PLC,G5480U104,4998,118000
Liberty Global PLC Lilac,G5480U138,211,5100
Liberty Media,531229102,16720,426000
Liberty Media Corp Class C,531229300,19878,522000
Live Nation,538034109,614,25000
Lowes,548661107,7224,95000
Lowes,548661107,33838,445000
MSCI,55354G100,9882,137000
Marriott International,571903202,97099,1448369
Marsh & McLennan,571748102,32688,589500
"Mastercard, Inc",57636Q104,13874,142500
Mattel,577081102,17280,636000
McGraw Hill Financial,580645109,14491,147000
Mead Johnson Nutrition,582839106,1224,15500
Microsoft Corp,594918104,1664,30000
Monsanto Co,61166W101,38620,392000
Moody's Corp,615369105,29099,290000
National Oilwell,637071101,20429,610000
Nike,654106103,20000,320000
Norfolk Southern,655844108,17510,207000
Novo-Nordisk A/S,670100205,62436,1075000
Now Inc,67011P100,1875,118500
Oaktree Capital Group LLC,674001201,27177,569500
Oracle Corp,68389X105,23306,638000
PJT Partners Inc A,69343T107,344,12175
Paccar,693718108,5569,117500
Parker-Hannifin Corp,701094104,4219,43500
Patterson Companies Inc.,703395103,7595,168000
Paychex,704326107,7933,150000
Pepsico,713448108,13919,139300
Philip Morris International,718172109,10066,114500
Praxair Inc.,74005P104,1178,11500
Procter & Gamble,742718109,10085,127000
RLI Corporation,749607107,73932,1197272
Rent-A-Center,76009N100,3563,238000
