Name of Issuer,CUSIP,Value,Shares
3M Company,88579y101,4629,30000
3M Company,88579y101,26848,174000
Aaron's Inc,002535300,11732,324000
Accenture,G1151C101,968,10000
Accenture,G1151C101,12097,125000
Alleghany Corporation,017175100,2029,4328
American Express,025816109,777,10000
American Express,025816109,27746,357000
American Tower,03027x100,746,8000
Anheuser-Busch Inbev ADR,03524A108,51285,425000
Anthem Inc,036752103,36767,224000
Aon Corporation,g0408v102,399,4000
Apollo Global Management - A,037612306,8040,363000
Apple Inc,037833100,753,6000
Archer Daniels,039483102,66351,1376000
Automatic Data Processing,053015103,42578,530700
Berkshire Hathaway Class B,084670702,66027,485100
Berkshire Hathaway Class B,084670702,139718,1026507
"Berkshire Hathaway, Inc.",084670108,56334,275
"Berkshire Hathaway, Inc.",084670108,164495,803
Blackrock Inc,09247X101,48437,140000
Blackstone Group,09253U108,18841,461000
Brookfield Asset Management,112585104,22530,645000
Brookfield Asset Management,112585104,152149,4355821
Brown Forman Class A,115637100,46964,421500
Brown-Forman Class B,115637209,10556,105375
CDK Global Inc,12508e101,9549,176897
CME Group Inc,12572q105,10609,114000
CVS Corporation,126650100,25905,247000
Carbo Ceramics Inc,140781105,8950,215000
Carmax,143130102,15559,235000
Carmax,143130102,309735,4678070
Caterpillar Inc,149123101,20442,241000
Charles Schwab,808513105,34511,1057000
Chubb Corp,171232101,29874,314000
Coach Inc,189754104,1696,49000
Colfax Corporation,194014106,50076,1085070
Copart Inc,217204106,33564,946000
Core Labs NV,N22717107,12430,109000
Costco,22160K105,675,5000
Costco,22160K105,4592,34000
Culp Inc,230215105,937,30227
Darling Ingredients Inc,237266101,953,65000
Diageo PLC,25243Q205,38119,328500
Diageo PLC,25243Q205,107047,922500
Discovery Communications,25470f302,7179,231000
Disney,254687106,177202,1552500
Ecolab,278865100,15491,137000
Emerson Electric,291011104,8758,158000
Exxon Corporation,30231G102,16623,199800
Exxon Corporation,30231G102,57242,688000
Factset Research,303075105,24702,152000
Federated Investors,314211103,335,10000
Federated Investors,314211103,71133,2124000
General Dynamics,369550108,54834,387000
General Electric,369604103,78727,2963000
Google Class A,38259P508,6750,12500
Google Class C,38259P706,6522,12531
Graham Holdings Co,384637104,5590,5200
Halliburton,406216101,9432,219000
Harley Davidson,412822108,2536,45000
"Hasbro, Inc",418056107,27224,364000
Home Depot,437076102,2223,20000
Home Depot,437076102,100017,900000
Illinois Tool Works,452308109,21112,230000
Intel,458140100,1825,60000
Intel,458140100,28316,931000
Investors Title Company,461804106,15121,213300
JP Morgan,46625H100,5760,85000
John Deere,244199105,95594,985000
Johnson and Johnson,478160104,5360,55000
Johnson and Johnson,478160104,50601,519200
KKR & Co LLC,48248M102,11379,498000
Liberty Broadband A,530307107,4090,80250
Liberty Global PLC,G5480U104,5407,100000
Liberty Media,531229102,14704,408000
Liberty Broadband C,530307305,8805,172113
Liberty Media Corp Class C,531229300,18524,516000
Lowes,548661107,6362,95000
Lowes,548661107,29802,445000
MSCI,55354g100,7694,125000
Marriott International,571903202,0,0
Marriott International,571903202,102946,1383869
Marsh & McLennan,571748102,25855,456000
"Mastercard, Inc",57636Q104,10937,117000
Mattel,577081102,12665,493000
McDonalds,580135101,17208,181000
McGraw Hill Financial,580645109,13561,135000
Monsanto Co,61166W101,20359,191000
Moody's Corp,615369105,30013,278000
National Oilwell,637071101,29451,610000
Nike,654106103,17283,160000
Norfolk Southern,655844108,8561,98000
Novo-Nordisk A/S,670100205,58867,1075000
Now Inc,67011P100,2359,118500
Oaktree Capital Group LLC,674001201,17257,324500
Oracle Corp,68389x105,25711,638000
Parker-Hannifin Corp,701094104,931,8000
Patterson Companies Inc.,703395103,8125,167000
Paychex,704326107,7032,150000
Pepsico,713448108,12536,134300
Philip Morris International,718172109,9179,114500
Procter & Gamble,742718109,9936,127000
RLI Corporation,749607107,61528,1197272
Rent-A-Center,76009N100,6691,236000
Ritchie Bros,767744105,2987,107000
Rockwell  Automation Inc,773903109,2244,18000
"Rollins, Inc.",775711104,6847,240000
"Ross Stores, Inc",778296103,2236,46000
Rush Enterprises Inc,781846209,393,15000
SEI Investments Co,784117103,11620,237000
Schlumberger,806857108,53610,622000
Starz Liberty Capital,85571Q102,537,12000
Synalloy Corporation,871565107,6649,485343
Synalloy Corporation,871565107,4110,300000
T.Rowe Price,74144T108,855,11000
T.Rowe Price,74144T108,18888,243000
The Carlyle Group,14309L102,10556,375000
The Travelers Companies Inc,89417e109,26098,270000
Unilever PLC ADR,904767704,63237,1472000
United Health Group Inc,91324P102,80886,663000
United Parcel Service,911312106,73216,755500
United Technologies,913017109,5879,53000
Verisk Analytics Inc,92345Y106,2328,32000
Visa,92826C839,54996,819000
W.P. Carey,92936U109,2652,45000
W.P. Carey,92936U109,53352,905200
Wal-Mart Stores,931142103,77881,1098000
Walgreens Boots Alliance Inc,931427108,180279,2135000
Watsco Inc,942622200,11508,93000
Wesco Aircraft Holdings,950814103,3712,245000
