Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579Y101,36533,234200,0.006805601557950536
Accenture,G1151C101,34227,159400,0.006376025087563929
Activision Blizzard Inc,00507V109,21541,283800,0.0040127956411959735
Albemarle Corp,012653101,5868,76000,0.0010931286765952359
Alleghany Corporation,017175100,2117,4328,0.00039436833816498194
Alphabet Inc,02079K107,194362,137493,0.03620699997280218
Alphabet Inc Class A,02079K305,17726,12500,0.0033021129722779737
Amazon.com,023135106,271584,98442,0.05059240942475128
American Express,025816109,46072,483950,0.008582587659866343
American Tower,03027X100,13225,51150,0.002463637823444443
Analog Devices Inc,032654105,108636,885811,0.020237410857293803
Aon Corporation,G0408V102,7126,37000,0.0013274769852449984
Apollo Global Management - A,03768E105,50544,1012500,0.009415660502697614
Apple Inc,037833100,109672,300635,0.020430403582064195
Archer Daniels,039483102,58985,1478300,0.010988104122183023
Ball Corporation,058498106,3197,46000,0.0005955576651457002
Bank of New York Mellon Corp,064058100,13527,350000,0.002519896320433496
Berkshire Hathaway Class B,084670702,273422,1531687,0.050934803853446245
"Berkshire Hathaway, Inc.",084670108,297772,1114,0.055470878031205956
Blackrock Inc,09247X101,119809,220200,0.02231878895947488
Blackstone Group,09260D107,69635,1229000,0.012972054429909551
Brookfield Asset Management,112585104,286252,8700661,0.053324858543411624
Brown Forman Class A,115637100,48532,843000,0.00904085223798909
Brown-Forman Class B,115637209,30187,474187,0.005623427975524946
CVS Corporation,126650100,21570,332000,0.004018197947198233
Cable One,12685J105,9229,5200,0.0017192373136157857
Carrier Air Conditioning,14448C104,4977,224000,0.0009271474818361433
Caterpillar Inc,149123101,36369,287500,0.006775050586075687
Charles Schwab,808513105,36955,1095300,0.006884214424604114
Cisco,17275R102,15951,342000,0.002971454587656886
Citigroup Inc,172967424,1155,22620,0.0002151608080210459
Colfax Corporation,194014106,31668,1135070,0.0058993181544679495
Comcast Corp- Class A,20030n101,20348,522000,0.0037905559494478287
Costco,22160K105,11871,39150,0.0022114060190630614
Crown Holdings Inc,228368106,7555,116000,0.0014073938567956724
DR Horton Inc,23331A109,776,13999,0.00014455825716392346
Diageo PLC,25243Q205,181399,1349800,0.03379216918979195
Disney,254687106,207673,1862380,0.03868665842783953
Eastman Chemical Company,277432100,418,6000,7.78677209980928e-05
Ecolab,278865100,61535,309300,0.011463134477554164
