Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579Y101,35725,204000,0.009415553096866999
Accenture,G1151C101,16586,146400,0.004371346778576236
Alleghany Corporation,017175100,2379,4328,0.000627000722671703
Alphabet Inc,02079K107,23207,33531,0.0061163538339815944
Alphabet Inc Class A,02079K305,8794,12500,0.0023177151556010747
Amazon.com,023135106,13955,19500,0.003677929838118376
American Express,025816109,23454,386000,0.00618145226966882
Analog Devices Inc,032654105,11668,206000,0.003075176306067016
Anthem Inc,036752103,29420,224000,0.007753829870114125
Aon Corporation,G0408V102,4042,37000,0.0010652950487763865
Apollo Global Management - A,037612306,5863,387000,0.001545231289207312
Apple Inc,037833100,3451,36100,0.0009095332046826596
Archer Daniels,039483102,62761,1463300,0.01654106446221049
Automatic Data Processing,053015103,48755,530700,0.012849693246683011
Baxter International Inc,071813109,995,22000,0.0002622386376874084
Becton Dickinson,075887109,1526,9000,0.000402187096593955
Berkshire Hathaway Class B,084670702,218866,1511607,0.05768353937295711
"Berkshire Hathaway, Inc.",084670108,235201,1084,0.061988733490166974
Blackrock Inc,09247X101,52921,154500,0.013947669291512903
Blackstone Group,09253U108,12245,499000,0.003227248360283734
Boeing Co,097023105,2182,16800,0.000575080107973794
Bristol Myers Squibb,110122108,735,10000,0.00019371396854295995
Brookfield Asset Management,112585104,168089,5082821,0.04430093504546612
Brookfield Business Partners,G16234109,1939,101594,0.0005110358979657135
Brown Forman Class A,115637100,45535,421500,0.012001041574970995
Brown-Forman Class B,115637209,10512,105375,0.002770505084794007
Bunge Limited,G16962105,4247,71800,0.0011193241148325862
CDK Global Inc,12508E101,9816,176897,0.0025870698166227143
CME Group Inc,12572Q105,11980,123000,0.003157405909040354
CR Bard,067383109,2116,9000,0.0005576853842678956
CSX Corporation,126408103,3651,140000,0.0009622444886399277
CVS Corporation,126650100,23648,247000,0.00623258221510737
Cable One,12685J105,2659,5200,0.0007007965202118783
Capital One Financial Corp,14040H105,8002,126000,0.0021089784711302933
Carbo Ceramics Inc,140781105,2816,215000,0.0007421748781183336
Carmax,143130102,240888,4913070,0.0634875788494919
Caterpillar Inc,149123101,21075,278000,0.005554451546997117
Charles Schwab,808513105,26753,1057000,0.007050924898543956
Cisco,17275R102,5595,195000,0.0014745981687045728
Colfax Corporation,194014106,30034,1135070,0.007915653511862937
Comcast Corp- Class A,20030N101,2282,35000,0.0006014357499524281
Copart Inc,217204106,47295,965000,0.012464900873794954
Core Labs NV,N22717107,13628,110000,0.0035917468888482427
Costco,22160K105,6124,39000,0.0016140195147715467
Cummins Inc.,231021106,4216,37500,0.0011111538658192099
Diageo PLC,25243Q205,147004,1302300,0.03874384793427114
Discovery Communications,25470F302,18031,756000,0.004752185805167498
Disney,254687106,157608,1611200,0.041538600209685486
Ecolab,278865100,19664,165800,0.005182573438678591
Emerson Electric,291011104,8241,158000,0.0021719684554592287
Exxon Corporation,30231G102,88565,944800,0.02334187431837721
Facebook,30303M102,3486,30500,0.0009187576793751815
Factset Research,303075105,26473,164000,0.006977129101003781
General Dynamics,369550108,53886,387000,0.014202001236606721
Goldman Sachs,38141G104,2541,17100,0.0006696968626770901
Graham Holdings Co,384637104,2546,5200,0.0006710146447760218
Harley Davidson,412822108,13816,305000,0.0036412954957680747
"Hasbro, Inc",418056107,30572,364000,0.008057446865707989
Heico Corp Class A,422806208,215,4000,5.6664630254063116e-05
Hershey Foods,427866108,2735,24100,0.0007208268081156401
Home Depot,437076102,117475,920000,0.0309612904144003
