Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579Y101,30730,204000,0.008318237973609015
Aaron's Inc,002535300,7299,326000,0.0019757506986453695
Accenture,G1151C101,14316,137000,0.003875167420442131
Alleghany Corporation,017175100,2068,4328,0.0005597824968897964
Alphabet Inc,02079K107,12166,16031,0.0032931885189367814
Alphabet Inc Class A,02079K305,9725,12500,0.0026324394498323357
Amazon.com,023135106,2230,3300,0.0006036339303985717
American Express,025816109,26846,386000,0.007266886320843074
American Tower,03027X100,1939,20000,0.0005248637627994755
Anthem Inc,036752103,31235,224000,0.008454935343497482
Aon Corporation,G0408V102,3412,37000,0.0009235869822959311
Apollo Global Management - A,037612306,5875,387000,0.0015902911843460128
Apple Inc,037833100,2526,24000,0.0006837575373034941
Archer Daniels,039483102,52232,1424000,0.01413856836438484
Automatic Data Processing,053015103,44961,530700,0.012170396925852098
Baxter International Inc,071813109,839,22000,0.00022710711551766888
Becton Dickinson,075887109,1387,9000,0.0003754440634362416
Berkshire Hathaway Class B,084670702,199593,1511607,0.05402740227356148
"Berkshire Hathaway, Inc.",084670108,214415,1084,0.058039537751753245
Blackrock Inc,09247X101,51759,152000,0.014010533006053663
Blackstone Group,09253U108,14240,487000,0.0038545951429935694
Boeing Co,097023105,694,4800,0.00018785737564870346
Bristol Myers Squibb,110122108,688,10000,0.0001862332484817118
Brookfield Asset Management,112585104,159000,5042821,0.04303936992527932
Brown Forman Class A,115637100,46411,421500,0.012562894324541753
Brown-Forman Class B,115637209,10462,105375,0.0028319364035111465
Bunge Limited,G16962105,478,7000,0.00012938879763700324
CDK Global Inc,12508E101,8397,176897,0.0022729659702048458
CME Group Inc,12572Q105,10510,116000,0.00284492942084708
CR Bard,067383109,1705,9000,0.00046152280328680027
CSX Corporation,126408103,2206,85000,0.0005971374217306049
CVS Corporation,126650100,24149,247000,0.006536841159280317
Cable One,12685J105,2255,5200,0.0006104011269277036
Capital One Financial Corp,14040H105,9095,126000,0.00246190609729821
Carbo Ceramics Inc,140781105,3698,215000,0.0010010037105892009
Carmax,143130102,265158,4913070,0.07177505189086299
Caterpillar Inc,149123101,18893,278000,0.005114105760995612
Charles Schwab,808513105,34807,1057000,0.009421832383579859
Coach Inc,189754104,1767,54000,0.00047830545067904757
Colfax Corporation,194014106,26503,1135070,0.007174040384463383
Copart Inc,217204106,36680,965000,0.009928830747542425
Core Labs NV,N22717107,11853,109000,0.003208463218392049
Costco,22160K105,6298,39000,0.0017047921496189257
Culp Inc,230215105,770,30227,0.00020842965309726466
Cummins Inc.,231021106,3168,36000,0.0008575391441716031
Diageo PLC,25243Q205,140100,1284500,0.037923369349255553
Discovery Communications,25470F302,18108,718000,0.004901615789980868
Disney,254687106,166972,1589000,0.045197293554488926
Donaldson,257651109,1376,48000,0.0003724664969634236
Ecolab,278865100,18244,159500,0.004938429339099346
Emerson Electric,291011104,7557,158000,0.0020455881668260114
Exxon Corporation,30231G102,73647,944800,0.019935348911239284
Facebook,30303M102,366,3500,9.907175718649203e-05
Factset Research,303075105,26661,164000,0.007216809066527497
Federated Investors,314211103,21889,764000,0.005925086593046787
Fedex Corp,31428X106,4768,32000,0.0012906397220360491
General Dynamics,369550108,53158,387000,0.014389225323823888
Genesee and Wyoming,371559105,537,10000,0.0001453593814457547
Graham Holdings Co,384637104,2522,5200,0.0006826747858588331
Halliburton,406216101,8306,244000,0.0022483333748388053
Harley Davidson,412822108,13254,292000,0.0035876969118846047
"Hasbro, Inc",418056107,24519,364000,0.00663699566791147
Hershey Foods,427866108,1071,12000,0.00028990669930801355
Home Depot,437076102,121670,920000,0.03293459206797947
Illinois Tool Works,452308109,21316,230000,0.005769982448599082
Investors Title Company,461804106,21330,213300,0.005773772078655396
JP Morgan,46625H100,12083,183000,0.0032707214264600633
John Deere,244199105,83211,1091000,0.02252420761542401
Johnson and Johnson,478160104,62167,605200,0.016827852265061883
KKR & Co LLC,48248M102,8309,533000,0.002249145438422301
Liberty Broadband A,530307107,4455,86250,0.0012059144214913169
Liberty Broadband Class C,530307305,8926,172113,0.002416159848761278
Liberty Global PLC,G5480U104,4998,118000,0.0013528979301040633
Liberty Global PLC Lilac,G5480U138,211,5100,5.711513870587382e-05
Liberty Media,531229102,16720,426000,0.004525901038683461
Liberty Media Corp Class C,531229300,19878,522000,0.005380733304243411
Live Nation,538034109,614,25000,0.00016620234675548116
Lowes,548661107,41062,540000,0.011114984955168676
MSCI,55354G100,9882,137000,0.0026749374440352847
Marriott International,571903202,97099,1448369,0.026283520631287402
Marsh & McLennan,571748102,32688,589500,0.008848244805770632
"Mastercard, Inc",57636Q104,13874,142500,0.0037555233858070775
Mattel,577081102,17280,636000,0.004677486240936017
McGraw Hill Financial,580645109,14491,147000,0.003922537796146055
Mead Johnson Nutrition,582839106,1224,15500,0.0003313219420663012
Microsoft Corp,594918104,1664,30000,0.00045042460097902387
Monsanto Co,61166W101,38620,392000,0.010453965198203066
Moody's Corp,615369105,29099,290000,0.007876746072048446
National Oilwell,637071101,20429,610000,0.00552988231574548
Nike,654106103,20000,320000,0.005413757223305575
Norfolk Southern,655844108,17510,207000,0.004739744449004031
Novo-Nordisk A/S,670100205,62436,1075000,0.016900667299715344
Now Inc,67011P100,1875,118500,0.0005075397396848976
Oaktree Capital Group LLC,674001201,27177,569500,0.007356484002888781
Oracle Corp,68389X105,23306,638000,0.006308651292317987
PJT Partners Inc A,69343T107,344,12175,9.31166242408559e-05
Paccar,693718108,5569,117500,0.0015074606988294374
Parker-Hannifin Corp,701094104,4219,43500,0.0011420320862563112
Patterson Companies Inc.,703395103,7595,168000,0.002055874305550292
Paychex,704326107,7933,150000,0.0021473668026241563
Pepsico,713448108,13919,139300,0.0037677043395595152
Philip Morris International,718172109,10066,114500,0.0027247440104896958
Praxair Inc.,74005P104,1178,11500,0.0003188703004526984
Procter & Gamble,742718109,10085,127000,0.0027298870798518364
RLI Corporation,749607107,73932,1197272,0.02001249495167139
Rent-A-Center,76009N100,3563,238000,0.0009644608493318882
Ritchie Bros,767744105,2628,109000,0.0007113676991423526
Rockwell Automation Inc,773903109,4874,47500,0.0013193326353195688
"Rollins, Inc.",775711104,7731,298500,0.00209268785466877
"Ross Stores, Inc",778296103,2475,46000,0.0006699524563840649
Rush Enterprises Inc,781846209,328,15000,8.878561846221143e-05
SEI Investments Co,784117103,12419,237000,0.003361672547811597
Schlumberger,806857108,46174,662000,0.012498741301445581
Starz Liberty Capital,85571Q102,402,12000,0.00010881652018844207
State Street Corp,857477103,299,4500,8.093567048841835e-05
Synalloy Corporation,871565107,5403,785343,0.0014625265138760012
T.Rowe Price,74144T108,20374,285000,0.005514994483381389
The Carlyle Group,14309L102,6232,399000,0.0016869267507820173
The Travelers Companies Inc,89417E109,35551,315000,0.009623224152286825
Unilever PLC ADR,904767704,65629,1522000,0.01776497364041608
Union Pacific,907818108,5083,65000,0.001375906398303112
United Health Group Inc,91324P102,77995,663000,0.021112299731585918
United Parcel Service,911312106,76359,793500,0.02066945439071952
United Technologies,913017109,5860,61000,0.0015862308664285336
Verisk Analytics Inc,92345Y106,3998,52000,0.0010822100689387845
Visa,92826C839,66034,851500,0.01787460222418802
W.P. Carey,92936U109,56062,950200,0.015175302872647858
Walgreens Boots Alliance Inc,931427108,181806,2135000,0.04921267728701467
Watsco Inc,942622200,14641,125000,0.003963140975320846
Wesco Aircraft Holdings,950814103,3435,287000,0.0009298128031027326
