Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579Y101,35951,204000,0.009266970779824187
Accenture,G1151C101,17886,146400,0.004610415269893339
Alleghany Corporation,017175100,2272,4328,0.0005856459517610235
Allergan PLC,G0177J108,461,2000,0.0001188304505993978
Alphabet Inc,02079K107,38111,49031,0.009823746860723752
Alphabet Inc Class A,02079K305,10051,12500,0.002590813143111816
Amazon.com,023135106,28469,34000,0.0073383602995970845
American Express,025816109,24719,386000,0.006371735159146452
American Tower,03027X100,227,2000,5.851304183527831e-05
Analog Devices Inc,032654105,20108,312000,0.005183172886448354
Anthem Inc,036752103,28069,224000,0.007235253617949017
Aon Corporation,G0408V102,4162,37000,0.0010728250225481425
Apollo Global Management - A,037612306,6951,387000,0.001791736360339293
Apple Inc,037833100,6907,61100,0.0017803946253580056
Archer Daniels,039483102,61707,1463300,0.015906010011143255
Automatic Data Processing,053015103,46808,530700,0.01206554388645686
Baxter International Inc,071813109,1047,22000,0.0002698817392138167
Becton Dickinson,075887109,1618,9000,0.0004170665272664331
Berkshire Hathaway Class B,084670702,218382,1511607,0.056291608379170695
"Berkshire Hathaway, Inc.",084670108,234382,1084,0.060415875645093396
Blackrock Inc,09247X101,56363,155500,0.014528504744325073
Blackstone Group,09253U108,13684,536000,0.0035272795791803893
Boeing Co,097023105,5322,40400,0.0013718343993275382
Bristol Myers Squibb,110122108,539,10000,0.00013893625352077096
Brookfield Asset Management,112585104,179869,5112821,0.04636423930339064
Brookfield Business Partners,G16234109,2685,101594,0.0006921036005626531
Brown Forman Class A,115637100,41939,843000,0.010810477804095758
Brown-Forman Class B,115637209,9998,210750,0.0025771515077934472
Bunge Limited,G16962105,4253,71800,0.0010962817926230778
CDK Global Inc,12508E101,10147,176897,0.0026155587467073527
CME Group Inc,12572Q105,14110,135000,0.0036370881951355814
CSX Corporation,126408103,4270,140000,0.0011006638265931208
CVS Corporation,126650100,21981,247000,0.00566596992326543
Cable One,12685J105,3037,5200,0.0007828374804129526
Carmax,143130102,262112,4913070,0.06756374635034568
Caterpillar Inc,149123101,24678,278000,0.006361166724277525
Charles Schwab,808513105,33369,1057000,0.008601417149785911
Cisco,17275R102,8533,269000,0.0021995232862574003
Colfax Corporation,194014106,35675,1135070,0.009195827169487022
Comcast Corp- Class A,20030N101,4976,75000,0.0012826471197019598
Core Labs NV,N22717107,12356,110000,0.0031849653961088056
Costco,22160K105,5948,39000,0.0015331963561067638
Cummins Inc.,231021106,4806,37500,0.0012388267800015312
Diageo PLC,25243Q205,152105,1310800,0.039207604530198274
Discovery Communications,25470F302,21916,833000,0.0056492150874976185
Disney,254687106,150173,1617200,0.0387095992578381
Ecolab,278865100,21885,179800,0.005641224319669893
Emerson Electric,291011104,8613,158000,0.0022201446225870135
Exxon Corporation,30231G102,82463,944800,0.02125621572186148
Facebook,30303M102,6606,51500,0.001702806847417835
Factset Research,303075105,26584,164000,0.006852470062330566
General Dynamics,369550108,60047,387000,0.015478117282303774
Goldman Sachs,38141G104,2758,17100,0.0007109205699634255
Graham Holdings Co,384637104,2503,5200,0.0006451900604127824
Harley Davidson,412822108,16040,305000,0.004134577934087507
"Hasbro, Inc",418056107,28876,364000,0.0074432713481739935
Heico Corp,422806109,208,3000,5.36154744569951e-05
Heico Corp Class A,422806208,2269,37500,0.0005848726516486629
Hershey Foods,427866108,2304,24100,0.0005938944862928689
Home Depot,437076102,118386,920000,0.0305159690339703
Illinois Tool Works,452308109,27563,230000,0.007104823665664212
Investors Title Company,461804106,21223,213300,0.005470582761542342
JP Morgan,46625H100,12186,183000,0.003141145056408377
John Deere,244199105,93492,1095400,0.02409912470160282
Johnson and Johnson,478160104,72154,610800,0.018598898769086658
KKR & Co LLC,48248M102,8527,598000,0.002197976686032679
Liberty Braves Group A,531229706,743,42600,0.0001915206611612854
Liberty Braves Group C,531229888,1734,99788,0.00044696746494437265
Liberty Broadband A,530307107,8296,118250,0.00213843257738092
Liberty Broadband Class C,530307305,12303,172113,0.0031713037607904366
Liberty Global PLC,G5480U104,4033,118000,0.0010395731177166407
Liberty Global PLC Lilac,G5480U138,406,14720,0.00010465328187278853
Liberty Media Group A,531229870,3481,121500,0.0008972858970423075
Liberty Media Group C,531229854,4798,170500,0.0012367646463685698
Liberty Sirius Group A,531229409,14475,426000,0.003731173042139443
Liberty Sirius Group C,531229607,17440,522000,0.004495451319855744
