Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579y101,31477,204000,0.007860324601415093
Aaron's Inc,002535300,11732,324000,0.0029296733559043705
Accenture,G1151C101,13065,135000,0.0032625453797213264
Alleghany Corporation,017175100,2029,4328,0.0005066746709111804
American Express,025816109,28523,367000,0.007122662217052537
American Tower,03027x100,746,8000,0.00018628846944294754
Anheuser-Busch Inbev ADR,03524A108,51285,425000,0.012806707983085207
Anthem Inc,036752103,36767,224000,0.00918132460590999
Aon Corporation,g0408v102,399,4000,9.963686234280974e-05
Apollo Global Management - A,037612306,8040,363000,0.0020077202336746622
Apple Inc,037833100,753,6000,0.00018803648457176876
Archer Daniels,039483102,66351,1376000,0.01656893597320243
Automatic Data Processing,053015103,42578,530700,0.01063242687927858
Berkshire Hathaway Class B,084670702,205745,1511607,0.05137791038276038
"Berkshire Hathaway, Inc.",084670108,220829,1078,0.05514463326892314
Blackrock Inc,09247X101,48437,140000,0.012095515542101943
Blackstone Group,09253U108,18841,461000,0.00470490757744581
Brookfield Asset Management,112585104,174679,5000821,0.043620219241051784
Brown Forman Class A,115637100,46964,421500,0.011727683215708563
Brown-Forman Class B,115637209,10556,105375,0.002636006814262405
CDK Global Inc,12508e101,9549,176897,0.0023845423521591234
CME Group Inc,12572q105,10609,114000,0.0026492417859520514
CVS Corporation,126650100,25905,247000,0.006468904558873399
Carbo Ceramics Inc,140781105,8950,215000,0.0022349622004214213
Carmax,143130102,325294,4913070,0.08123126190211015
Caterpillar Inc,149123101,20442,241000,0.005104703609051921
Charles Schwab,808513105,34511,1057000,0.008617964301535606
Chubb Corp,171232101,29874,314000,0.007460029136915033
Coach Inc,189754104,1696,49000,0.000423519094068685
Colfax Corporation,194014106,50076,1085070,0.012504800798693084
Copart Inc,217204106,33564,946000,0.008381482826250793
Core Labs NV,N22717107,12430,109000,0.003103975435892544
Costco,22160K105,5267,39000,0.0013152565262144836
Culp Inc,230215105,937,30227,0.0002339843108150695
Darling Ingredients Inc,237266101,953,65000,0.00023797977396666087
Diageo PLC,25243Q205,145166,1251000,0.03625033774149453
Discovery Communications,25470f302,7179,231000,0.0017927143728296519
Disney,254687106,177202,1552500,0.04425025383676835
Ecolab,278865100,15491,137000,0.0038683574800813677
Emerson Electric,291011104,8758,158000,0.002187016642602325
Exxon Corporation,30231G102,73865,887800,0.018445305355768524
Factset Research,303075105,24702,152000,0.006168495673163123
Federated Investors,314211103,71468,2134000,0.017846735032370744
General Dynamics,369550108,54834,387000,0.013692951653397567
General Electric,369604103,78727,2963000,0.019659426720958353
Google Class A,38259P508,6750,12500,0.0016855860170776084
Google Class C,38259P706,6522,12531,0.0016286506671674315
Graham Holdings Co,384637104,5590,5200,0.0013959149385872342
Halliburton,406216101,9432,219000,0.0023553255278631114
Harley Davidson,412822108,2536,45000,0.0006332809095272318
"Hasbro, Inc",418056107,27224,364000,0.006798280552432713
Home Depot,437076102,102240,920000,0.025531009538668843
Illinois Tool Works,452308109,21112,230000,0.00527201362852481
Intel,458140100,30141,991000,0.007526703428257214
Investors Title Company,461804106,15121,213300,0.003775962394700817
JP Morgan,46625H100,5760,85000,0.0014383667345728925
John Deere,244199105,95594,985000,0.023871394032076578
Johnson and Johnson,478160104,55961,574200,0.013974382089137784
KKR & Co LLC,48248M102,11379,498000,0.002841523450122386
Liberty Broadband A,530307107,4090,80250,0.0010213402681255434
Liberty Global PLC,G5480U104,5407,100000,0.0013502168287909079
Liberty Media,531229102,14704,408000,0.003671830636312467
Liberty Broadband C,530307305,8805,172113,0.0021987533156101247
Liberty Media Corp Class C,531229300,18524,516000,0.004625747463754906
Lowes,548661107,36164,540000,0.00903074558838439
MSCI,55354g100,7694,125000,0.001921318343021499
Marriott International,571903202,102946,1383869,0.02570730935023281
Marsh & McLennan,571748102,25855,456000,0.0064564187365246765
"Mastercard, Inc",57636Q104,10937,117000,0.0027311487805596747
Mattel,577081102,12665,493000,0.003162658800931542
McDonalds,580135101,17208,181000,0.0042971206195365165
McGraw Hill Financial,580645109,13561,135000,0.003386404737420659
Monsanto Co,61166W101,20359,191000,0.005083977143953041
Moody's Corp,615369105,30013,278000,0.007494739723044483
National Oilwell,637071101,29451,610000,0.007354399079844836
Nike,654106103,17283,160000,0.004315849353059601
Norfolk Southern,655844108,8561,98000,0.0021378225025483564
Novo-Nordisk A/S,670100205,58867,1075000,0.014700058084045566
Now Inc,67011P100,2359,118500,0.0005890810984127523
Oaktree Capital Group LLC,674001201,17257,324500,0.0043093567254382644
Oracle Corp,68389x105,25711,638000,0.006420459568160354
Parker-Hannifin Corp,701094104,931,8000,0.0002324860121332227
