Name of Issuer,CUSIP,Value,Shares,Ratio
3M Company,88579y101,28921,204000,0.0076189658270111975
Aaron's Inc,002535300,11772,326000,0.0031012228386147027
Accenture,G1151C101,13265,135000,0.003494539666515803
Alleghany Corporation,017175100,2026,4328,0.0005337306720211848
American Express,025816109,28614,386000,0.0075380895603228935
American Tower,03027x100,1760,20000,0.0004636554702651951
Anheuser-Busch Inbev ADR,03524A108,45186,425000,0.011903827317842675
Anthem Inc,036752103,31360,224000,0.00826149747017984
Aon Corporation,G0408v102,2481,28000,0.000653596148709062
Apollo Global Management - A,037612306,6649,387000,0.0017516166032916377
Apple Inc,037833100,1985,18000,0.0005229296070888706
Archer Daniels,039483102,57035,1376000,0.01502533508328148
Automatic Data Processing,053015103,42647,530700,0.011234951613863509
Baxter International Inc,071813109,328,10000,8.640851945851364e-05
Becton Dickinson,075887109,531,4000,0.0001398869629038742
Berkshire Hathaway Cl B,084670702,197114,1511607,0.05192783202605322
"Berkshire Hathaway, Inc.",084670108,210664,1079,0.055497452265879016
Blackrock Inc,09247X101,45215,152000,0.011911467095477727
Blackstone Group,09253U108,15423,487000,0.004063044498806878
Brookfield Asset Management,112585104,157792,5018821,0.041568820434139585
Brown Forman Class A,115637100,45096,421500,0.011880117663113204
Brown-Forman Class B,115637209,10211,105375,0.0026899920493624473
CDK Global Inc,12508e101,8452,176897,0.0022266000197053576
CME Group Inc,12572q105,10758,116000,0.0028340940619960052
CR Bard,067383109,745,4000,0.00019626325303839226
CVS Corporation,126650100,23831,247000,0.006278053131755605
Cable One,12685j105,2181,5200,0.0005745639662774946
Capital One Financial Corp,14040H105,9065,125000,0.00238808911247386
Carbo Ceramics Inc,140781105,4083,215000,0.0010756280028936316
Carmax,143130102,291443,4913070,0.07677792114801095
Caterpillar Inc,149123101,18170,278000,0.004786715849271929
Charles Schwab,808513105,30188,1057000,0.007952745077480517
Coach Inc,189754104,1562,54000,0.00041149422986036066
Colfax Corporation,194014106,33949,1135070,0.008943545204564267
Copart Inc,217204106,31748,965000,0.008363712426124667
Core Labs NV,N22717107,10878,109000,0.002865706934968632
Costco,22160K105,5638,39000,0.0014852781484972558
Culp Inc,230215105,969,30227,0.0002552739492539625
Cummins Inc.,231021106,2714,25000,0.0007149778103975793
Darling Ingredients Inc,237266101,731,65000,0.0001925750845249191
Diageo PLC,25243Q205,137001,1271000,0.03609162675102386
Discovery Communications,25470f302,12947,533000,0.0034107655531383416
Disney,254687106,161016,1575500,0.04241815295467083
Donaldson,257651109,505,18000,0.00013303750709313836
Ecolab,278865100,16348,149000,0.00430672706130421
Emerson Electric,291011104,6979,158000,0.0018385520039663618
Exxon Corporation,30231G102,69948,940800,0.018427143655744244
Factset Research,303075105,26209,164000,0.006904514897829829
Federated Investors,314211103,58060,2009000,0.015295361706589334
Fedex Corp,31428X106,2160,15000,0.000569031713507285
General Dynamics,369550108,53387,387000,0.01406430374491362
General Electric,369604103,74727,2963000,0.019686126321879112
Google Class A,38259P508,7980,12500,0.0021022560526796916
Google Class C,38259P706,7624,12531,0.0020084711961942314
Graham Holdings Co,384637104,3000,5200,0.0007903218243156735
Halliburton,406216101,8625,244000,0.0022721752449075612
Harley Davidson,412822108,11803,215000,0.003109389497465965
"Hasbro, Inc",418056107,26259,364000,0.0069176869282350905
Home Depot,437076102,106251,920000,0.027990828051788208
Illinois Tool Works,452308109,18931,230000,0.004987194152040005
Intel,458140100,29868,991000,0.007868444082886845
Investors Title Company,461804106,15251,213300,0.004017732714212779
JP Morgan,46625H100,11158,183000,0.002939470305238095
John Deere,244199105,76590,1035000,0.020176916174779146
Johnson and Johnson,478160104,54348,582200,0.01431747016930274
KKR & Co LLC,48248M102,8944,533000,0.0023562127988931278
Las Vegas Sands Corp,517834107,1823,48000,0.00048025222857582425
Liberty Broadband A,530307107,4128,80250,0.0010874828302583667
Liberty Broadband Class C,530307305,8807,172113,0.0023201214355827123
Liberty Global PLC,G5480U104,5067,118000,0.0013348535612691726
