Name of Issuer,CUSIP,Value,Shares
ACE LTD,H0023R105,5843,50000
APPLE INC,037833100,7895,75000
BANK AMER CORP,060505104,5049,300000
BANK NEW YORK MELLON CORP,064058100,4122,100000
CITIGROUP INC,172967424,5175,100000
CNX COAL RES LP,12592V100,2376,256345
COMMUNITY HEALTH SYS INC NEW,203668108,5306,200000
FIRST SOLAR INC,336433107,6599,100000
HCA HOLDINGS INC,40412C101,5072,75000
INTERNATIONAL BUSINESS MACHS,459200101,6881,50000
MENS WEARHOUSE INC,587118100,5872,400000
NEXPOINT RESIDENTIAL TR INC,65341D102,8781,670800
PNC FINL SVCS GROUP INC,693475105,3812,40000
THERAVANCE BIOPHARMA INC,G8807B106,7156,436626
